"Country/Region/World","ISO","Sex","Year","Prevalence of raised blood pressure","Lower 95% uncertainty interval","Upper 95% uncertainty interval"
"World",NA,"Men",1975,0.264744627891587,0.215794583315837,0.3176555712899
"World",NA,"Men",1976,0.263432177053314,0.217270976840851,0.313866276096395
"World",NA,"Men",1977,0.262194277707937,0.218632993306862,0.309803927440783
"World",NA,"Men",1978,0.260997339306583,0.219553213891403,0.305810524322657
"World",NA,"Men",1979,0.259803320830274,0.220126573089495,0.301816761413154
"World",NA,"Men",1980,0.258594571661241,0.220826883187552,0.298084759101949
"World",NA,"Men",1981,0.257347625106412,0.221210042940865,0.294674526308064
"World",NA,"Men",1982,0.256041174538238,0.221782259120776,0.291541749846869
"World",NA,"Men",1983,0.254723791195947,0.222586101952118,0.288162030927507
"World",NA,"Men",1984,0.253431211772836,0.22290062514302,0.285005946120484
"World",NA,"Men",1985,0.252233813879361,0.223200075117893,0.282301398764861
"World",NA,"Men",1986,0.251100800096503,0.223571383849253,0.279732742502813
"World",NA,"Men",1987,0.25006643749421,0.223810449006676,0.277163723168254
"World",NA,"Men",1988,0.249134749045512,0.224315907571546,0.27502557726002
"World",NA,"Men",1989,0.248291359449825,0.224307774029649,0.272932214399003
"World",NA,"Men",1990,0.247550201307184,0.22462393580776,0.271012372995501
"World",NA,"Men",1991,0.24687061630813,0.225094057339756,0.269558120656825
"World",NA,"Men",1992,0.246256816098384,0.22519457966483,0.267815817074436
"World",NA,"Men",1993,0.24570845450073,0.225660739095579,0.266367455816466
"World",NA,"Men",1994,0.245204588455266,0.225829136736159,0.26513884338333
"World",NA,"Men",1995,0.244775494199677,0.22627184024319,0.264004104336521
"World",NA,"Men",1996,0.244371764681298,0.226378886528107,0.262905776394489
"World",NA,"Men",1997,0.244002705179117,0.226521977338456,0.262006165994572
"World",NA,"Men",1998,0.243675774198681,0.22670220862711,0.260960059331258
"World",NA,"Men",1999,0.243353320651513,0.226801209598242,0.260128294388326
"World",NA,"Men",2000,0.24301275372325,0.226989443362889,0.25946820182049
"World",NA,"Men",2001,0.242653084919871,0.226915071993887,0.25869992811824
"World",NA,"Men",2002,0.242277872230965,0.226785724118532,0.258136490217982
"World",NA,"Men",2003,0.24186130431298,0.226625749718015,0.257693472069821
"World",NA,"Men",2004,0.241400594957757,0.226237392296695,0.257187377306955
"World",NA,"Men",2005,0.240913189627731,0.225472872464244,0.256710144534344
"World",NA,"Men",2006,0.240407763712201,0.224652491630414,0.256349246552424
"World",NA,"Men",2007,0.239885178408683,0.223813986775404,0.256224491905849
"World",NA,"Men",2008,0.239370104651359,0.222826147476279,0.256373822264266
"World",NA,"Men",2009,0.238892836872359,0.221510825422019,0.256791226031968
"World",NA,"Men",2010,0.238448978386998,0.219944184220448,0.257785430538208
"World",NA,"Men",2011,0.238049266117252,0.218322993165012,0.259164039301911
"World",NA,"Men",2012,0.237713167959122,0.216660706332936,0.260331731737283
"World",NA,"Men",2013,0.237427513243056,0.214486943248208,0.261998266936053
